imo,position_dt_tm,latitude,longitude
9595321,2019-01-14 12:26:38+00,18.40913391,-64.58444977
9632179,2019-01-14 12:19:30+00,49.1361351,-4.697583199
9595321,2019-01-14 12:16:22+00,18.40354919,-64.55626678
9595321,2019-01-14 12:10:17+00,18.3859005,-64.54728699
9632179,2019-01-14 12:03:13+00,49.09989929,-4.789500237
9595321,2019-01-14 12:00:55+00,18.35029984,-64.53393555
9595321,2019-01-14 11:54:11+00,18.3227005,-64.50461578
9595321,2019-01-14 11:46:54+00,18.30410004,-64.46327972
9632179,2019-01-14 11:42:17+00,49.05373383,-4.908833504
9632179,2019-01-14 11:33:34+00,49.03556824,-4.957433224
9632179,2019-01-14 11:25:22+00,49.01796722,-5.004749775
9632179,2019-01-14 11:16:04+00,48.99688339,-5.056983471
9632179,2019-01-14 11:08:51+00,48.98054886,-5.097766876
9632179,2019-01-14 10:50:45+00,48.9397316,-5.200166702
9595321,2019-01-14 10:30:07+00,18.11181641,-64.02576447
9632179,2019-01-14 10:24:33+00,48.87805176,-5.347199917
9632179,2019-01-14 10:02:12+00,48.81886673,-5.471633434
9595321,2019-01-14 10:01:00+00,18.04358292,-63.87288284
9632179,2019-01-14 09:56:07+00,48.79991531,-5.506433487
9632179,2019-01-14 09:39:43+00,48.73664856,-5.585783482
9632179,2019-01-14 09:31:53+00,48.70550156,-5.615149975
9595321,2019-01-14 09:24:54+00,17.9628334,-63.68536758
9632179,2019-01-14 09:22:41+00,48.66786575,-5.652400017
9595321,2019-01-14 09:16:05+00,17.9427166,-63.63824844
9595321,2019-01-14 09:08:25+00,17.92580032,-63.59865189
9632179,2019-01-14 09:05:53+00,48.59794998,-5.719799995
9595321,2019-01-14 09:00:09+00,17.90686607,-63.55416489
9632179,2019-01-14 08:59:25+00,48.56919861,-5.741250038
9595321,2019-01-14 08:47:31+00,17.87828255,-63.48725128
9632179,2019-01-14 08:38:41+00,48.47923279,-5.812300205
9595321,2019-01-14 08:32:24+00,17.84403419,-63.40683365
9595321,2019-01-14 08:26:30+00,17.830616,-63.37545013
9595321,2019-01-14 08:18:56+00,17.81310081,-63.33436584
9632179,2019-01-14 08:14:07+00,48.37181854,-5.897083282
9595321,2019-01-14 08:01:43+00,17.77205086,-63.24409866
9595321,2019-01-14 07:47:13+00,17.73321724,-63.16633224
9632179,2019-01-14 07:45:48+00,48.2478981,-5.991616726
9632179,2019-01-14 07:38:48+00,48.21620178,-6.014999866
9595321,2019-01-14 07:36:58+00,17.69513321,-63.1186676
9632179,2019-01-14 07:29:18+00,48.17448425,-6.045866489
9595321,2019-01-14 07:19:19+00,17.59736633,-63.11306763
9632179,2019-01-14 07:16:24+00,48.11640167,-6.08833313
9595321,2019-01-14 07:11:53+00,17.55540085,-63.11361694
9595321,2019-01-14 07:02:33+00,17.50403404,-63.10083389
9595321,2019-01-14 06:53:25+00,17.45366669,-63.0867157
9632179,2019-01-14 06:44:42+00,47.97583389,-6.191283226
9595321,2019-01-14 06:36:56+00,17.37229919,-63.04244995
9595321,2019-01-14 06:15:11+00,17.27434921,-62.95975113
9632179,2019-01-14 06:11:22+00,47.82886505,-6.299933434
9595321,2019-01-14 06:07:49+00,17.24250031,-62.93281555
9595321,2019-01-14 05:58:31+00,17.20071602,-62.89758301
9632179,2019-01-14 05:52:24+00,47.74538422,-6.361100197
9595321,2019-01-14 05:42:38+00,17.12924957,-62.83748245
9247455,2019-01-14 05:29:05+00,15.59352493,71.31472778
9595321,2019-01-14 05:27:06+00,17.05936623,-62.77864838
9595321,2019-01-14 05:17:13+00,17.01493263,-62.74128342
9247455,2019-01-14 05:16:16+00,15.55989838,71.34057617
9595321,2019-01-14 04:48:19+00,16.88551712,-62.63251495
9595321,2019-01-14 04:41:25+00,16.85359955,-62.60561752
9595321,2019-01-14 04:32:44+00,16.81526756,-62.57343292
9595321,2019-01-14 04:26:45+00,16.7882328,-62.55068207
9595321,2019-01-14 04:12:32+00,16.72470093,-62.49721527
9595321,2019-01-14 03:59:51+00,16.66916656,-62.45061493
9595321,2019-01-14 03:52:31+00,16.638834,-62.42518234
9632179,2019-01-14 03:46:06+00,47.19820023,-6.765616894
9595321,2019-01-14 03:37:21+00,16.5731163,-62.37016678
